번호,제목,담당부서,보도일,첨부파일,첨부파일내용 미리보기,상세페이지URL,내용,문제유형,파싱된보도일,원본보도일
1077,불법사금융 척결 실무TF 개최,민생침해대응총괄국,2024.10.8,"241008 (보도자료) 불법사금융 척결 실무TF 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=193b8f4629b34424b314291936c56d13&fileSn=1&bbsId=), 241008 (보도자료) 불법사금융 척결 실무TF 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=193b8f4629b34424b314291936c56d13&fileSn=2&bbsId=)","< ><보도자료><> <보도시점><2024. 10. 9.(수) 0시><배포><2024. 10. 8.(화) 17시> <온라인上 불법금융광고 사전차단을 지속적으로 강화해 나가겠습니다.> < ▸ ｢불법사금융 척결 실무 TF｣ 회의 개최 → 구글(Google)의 불법금융광고 사전인증 절차 소개, 온라인플랫폼의 자율규제 입법지원 방안 등 논의> 1. 추진 배경 □ ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187523&menuNo=200218&pageIndex=108,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-08),2024-10-08,
1078,"상장사 임직원,주요주주 단기매매차익 발생사례 및 유의사항 안내",기업공시국,2024. 10. 8,"241008_석간 (보도자료) 상장사 임직원·주요주주 단기매매차익 발생사례 및 유의사항 안내.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=3bb01044b2f04394a76d03d61d1c7ecb&fileSn=1&bbsId=), 241008_석간 (보도자료) 상장사 임직원·주요주주 단기매매차익 발생사례 및 유의사항 안내.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=3bb01044b2f04394a76d03d61d1c7ecb&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024. 10. 8.(화) 석간><배포><2024. 10. 7.(월)> <> <담당부서><기업공시국 지분공시2팀><책임자><팀 장><한성남><(02-3145-8479)><담당자><조사역><전재영><(02-3145-8491)> <> <상장사 임직원·주요주주의 단기매매차익 발생사례 및 유의사항 안내> <◈ 상장사의 임직,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187512&menuNo=200218&pageIndex=108,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-08),2024-10-08,
1079,공개매수 관련 소비자경보 발령(주의),기업공시국/금융민원국,2024. 10. 8,"241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=626a2667173543179a63d1f23b0bb18b&fileSn=1&bbsId=), 241008 배포시 (보도자료) 공개매수 관련 소비자경보 발령(주의).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=626a2667173543179a63d1f23b0bb18b&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><배포시><배포><2024. 10. 8.(화)> <> <담당부서><기업공시국 지분공시1팀><책임자><팀 장><김대일><(02-3145-8486)><담당자><선임조사역><오재빈><(02-3145-8493)><금융민원국 금융민원기획팀><책임자><팀 장><박관우><(02-3145-5510)><담당자><선임조사역><변자영><(,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187510&menuNo=200218&pageIndex=108,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-08),2024-10-08,
1080,"금융위원회, 「개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의」 개최",은행감독국/민생침해대응총괄국/디지털혁신국/금융안정지원국/중소금융감독국/여신금융감독국,2024.10.8,"241007 (보도자료) 금융위원회, ？개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의？ 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=48394d8fef974c8ca8258339aa5c3acd&fileSn=1&bbsId=)","<><보도자료><><보도시점><2024. 10. 8.(화) 10:00><배포><2024. 10. 7.(월) 16:00><금융위원회, ｢개인채무자보호법 시행 준비상황 및 향후 추진계획 점검회의｣ 개최 - 채무조정의 상생문화 정착을 위한 개인채무자보호법의 차질없는 시행을 위해 금융위, 금감원, 신복위, 금융업권 등이 모여 준비상황을 점검하고 시행 후 추진계획 ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187509&menuNo=200218&pageIndex=109,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-08),2024-10-08,
1081,"금감원장, 임원회의(10.8.) 당부사항",금융시장안정국/기업공시국/조사1국,,"241008 (보도자료) 금감원장, 임원회의(10.8.) 당부사항.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c9ef1dfb3cb64606be653df4ebad7223&fileSn=1&bbsId=), 241008 (보도자료) 금감원장, 임원회의(10.8.) 당부사항.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c9ef1dfb3cb64606be653df4ebad7223&fileSn=2&bbsId=)","<금감원장, 임원회의(10.8.) 당부사항 (배포 시부터 보도 가능)> (최근 중동 분쟁 관련) □ 이복현 원장은 중동 불안 등 대외 불확실성 확대가 금융시장 불안으로 확산되지 않도록 시장안정에 감독역량을 집중할 것을 주문하였음 ◦ 최근 이스라엘과 이란의 보복 재천명에도 불구하고 주식·외환시장은 안정적으로 유지되고 있으나, 美 대선을 앞두고 중동정책 불확실",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187506&menuNo=200218&pageIndex=109,"(최근 중동 분쟁 관련)
□이복현 원장은 중동 불안 등 대외 불확실성 확대가 금융시장 불안으로 확산되지 않도록 시장안정에 감독역량을 집중할 것을 주문하였음
- 최근 이스라엘과 이란의 보복 재천명에도 불구하고 주식,외환시장은 안정적으로 유지되고 있으나, 美 대선을 앞두고 중동정책 불확실성까지 더해져 향후 전개를 예견하기 어려운 상황
- 이에 시장상황을 면밀하게 점검*하여 사태 악화시 단계별 안정조치를 즉시 시행하고 물류차질 등에 따른 수출입 기업의 자금 애로가 발생할 경우 신속히 지원할 수 있도록 대비할 것을 당부하였음
* 주식,채권,단기자금시장 및 외화자금 유출입 등 모니터링 강화
(고려아연 공개매수 현안 관련)
□ 과열양상을 보이고 있는 고려아연 공개매수에 대해서는 엄정한 관리？감독과 즉각적인 불공정거래 조사 착수를 지시하였음
- 특히, ‘공시 이전에 공개매수가 보다 고가로 자사주를 취득할 계획’이라든지 ‘자사주 취득 가능 규모가 과장’되었다고 주장하는 등의 풍문 유포 행위와 주가 형성에 부당한 영향을 미칠 수 있는 행위 등
- 상대측 공개매수 방해 목적의 불공정거래 행위가 확인될 경우 누구든 법과 원칙에 따라 엄중조치할 것을 강조하였음
□ 또한, 장기적인 기업가치를 도외시한 지나친 공개매수 가격 경쟁은 종국적으로 주주가치 훼손을 초래할 가능성이 높은바,
- 공개매수 과정뿐 아니라 이후 발생하는 이슈에 대해서도 자본시장법 등 관련법규 위반 여부를 철저히 살펴볼 것을 당부하고
- 금번 공개매수와 관련하여 투자자 피해 우려가 높다며 금융소비자 보호 조치를 지시하는 등 적극 대응할 것을 주문하였음
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일 없음,,
1082,A저축은행 및 B캐피탈 대출취급 적정성 관련 수시검사 결과(잠정),중소금융검사1국/중소금융검사3국,2024.10.07,"241007 (보도자료) A저축은행 및 B캐피탈 대출취급 적정성 관련 수시검사 결과(잠정).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=14d80c06bd194f0f93563171554fd7dc&fileSn=1&bbsId=), 241007 (보도자료) A저축은행 및 B캐피탈 대출취급 적정성 관련 수시검사 결과(잠정).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=14d80c06bd194f0f93563171554fd7dc&fileSn=2&bbsId=)",<><보 도 자 료><> < > <보도><배포시><배포><2024.10.07.(월)> <> <담당부서><중소금융검사1국 검사기획팀><책임자><국 장><이현석><(02-3145-7410)><담당자><팀 장><이건필><(02-3145-7370)><중소금융검사3국 검사1팀><책임자><국 장><허진철><(02-3145-8810)><담당자><팀 장><문주환><(02,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187483&menuNo=200218&pageIndex=109,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-07),2024-10-07,
1083,"신용카드사의 부가서비스 제공 관행 등을 개선하고, 대출이용자의 금리인하요구권 안내 등을 강화하겠습니다 - 제6차 공정금융 추진위원회 회의 개최 -",금융소비자보호총괄국/여신금융감독국,2024.10.7,"241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등을 개선하고, 대출이용자의 금리인하요구권 안내 등을 강화하겠습니다 - 제6차 공정금융 추진위원회 회의 개최 -.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=62ef650e64d34b52b6ca1165296730db&fileSn=1&bbsId=), 241007_1630_(보도자료) 신용카드사의 부가서비스 제공 관행 등을 개선하고, 대출이용자의 금리인하요구권 안내 등을 강화하겠습니다 - 제6차 공정금융 추진위원회 회의 개최 -.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=62ef650e64d34b52b6ca1165296730db&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.10.7.(월) 16:30><배포><2024.10.7.(월)> <> <담당부서><금융소비자보호총괄국 공정금융팀><책임자><국 장 ><이길성><(02-3145-5700)><담당자><팀 장><이 승><(02-3145-5689)><여신금융감독국 여신금융제도팀><책임자><국 장 ><김은순><(02-3145-7550),https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187481&menuNo=200218&pageIndex=109,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-07),2024-10-07,
1084,"금융감독원, 한국수자원공사와 자체감사기구간 상호 협력을 위한 업무협약(MOU) 체결",감사실/감찰실,2024.10.7,"241007 1100 (보도자료) 금감원, 한국수자원공사와 감사업무협약 체결.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d70168292e4549d49a24b5564a652f72&fileSn=1&bbsId=), 241007 1100 (보도자료) 금감원, 한국수자원공사와 감사업무협약 체결.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d70168292e4549d49a24b5564a652f72&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.10.7.(월) 11:00><배포><2024.10.4.(금)> <> <담당부서><감사실 감사1팀><책임자><국 장><고영집><(02-3145-6060)><담당자><부국장><박항신><(02-3145-6070)><감찰실 감찰총괄팀><책임자><국 장><이영로><(02-3145-5500)><담당자><팀 장><허수정>,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187475&menuNo=200218&pageIndex=109,"※ 자세한 내용은 첨부파일은 참고하시기 바랍니다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-10-07),2024-10-07,
1085,2024년 상반기 국내은행 개인사업자대출119 운영 현황,금융안정지원국,2024.10.7,"241007_조간 (보도자료) '24년 상반기 국내은행 개인사업자대출119 운영현황.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=b769929e748343ea9b10c7cffca72b43&fileSn=1&bbsId=), 241007_조간 (보도자료) '24년 상반기 국내은행 개인사업자대출119 운영현황.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=b769929e748343ea9b10c7cffca72b43&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.10.7.(월) 조간><배포><2024.10.4.(금)> <> <담당부서><금융안정지원국 금융안정지원2팀><책임자><국 장><김충진><(02-3145-8370)><담당자><팀 장><하도훈><(02-3145-8390)> <> <2024년 상반기 국내은행 개인사업자대출119 운영 현황> < < 주요 내용 > ◈ ,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187466&menuNo=200218&pageIndex=109,"※ 자세한 내용은 첨부파일은 참고하시기 바랍니다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-10-07),2024-10-07,
1086,보험산업의 건전경쟁을 확립하고 내부통제를 강화해 나가겠습니다.,보험감독국,2024.10.4,"241002 (보도자료) 보험산업의 건전경쟁을 확립하고 내부통제를 강화해 나가겠습니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=f3938b9c13af492e84f70c274a441c02&fileSn=1&bbsId=), 241002 (보도자료) 보험산업의 건전경쟁을 확립하고 내부통제를 강화해 나가겠습니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=f3938b9c13af492e84f70c274a441c02&fileSn=2&bbsId=)",<><보도자료><> <보도시점><2024.10.4.(금) 조간 ><배포><2024. 10. 2.(수) 09:00> <보험산업의 건전경쟁을 확립하고 내부통제를 강화해 나가겠습니다. - ｢신뢰회복｣과 ｢혁신｣을 위한 제3차 보험개혁회의 논의 -> <◈ 보험사 리스크 관리 프로세스를 강화하고 합리적인 보장한도 심의를 통해 “소비자가 필요한 만큼 보장”받고 “보험,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187440&menuNo=200218&pageIndex=109,"보험산업의 건전경쟁을 확립하고 내부통제를 강화해 나가겠습니다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-10-04),2024-10-04,
1087,"금융감독원장, 부원장회의시 당부 사항",기업공시국/조사1국,2024.9.27,"240929_부원장회의 당부사항_배포용.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=00f5a9237ca541d09c94eb7c744c7c9f&fileSn=1&bbsId=), 240929_부원장회의 당부사항_배포용.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=00f5a9237ca541d09c94eb7c744c7c9f&fileSn=2&bbsId=)","<부원장회의(9.27.) 당부사항 (2024.9.29.(일) 12시부터 보도 가능)> □ 금융감독원(원장: 이복현)은 ’24.9.27.(금) 오후 부원장회의에서 최근 여러 우려가 제기되고 있는 상장회사 공개매수와 관련한 현안에 대해 논의하였음 □ 공개매수 등 M&A 과정에서 발생하는 건전한 경영권 경쟁은 시장 자율에 맡겨야 할 것이지만, ◦ 현재 진행 중인",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187439&menuNo=200218&pageIndex=109,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-09-27),2024-09-27,
1088,"사업보고서 등에 대한 조사,감리결과 조치",회계감리1국,2024.10.2,"241002(보도참고) 사업보고서 등에 대한 조사·감리결과 조치.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6b1e70c0828f477caf55b107488c00b4&fileSn=1&bbsId=), 241002(보도참고) 사업보고서 등에 대한 조사·감리결과 조치.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6b1e70c0828f477caf55b107488c00b4&fileSn=2&bbsId=)"," < 금융위원회><보도참고자료><> <보도시점><배포 시><배포><2024. 10. 2.(수)> <사업보고서 등에 대한 조사·감리결과 조치> <- 제17차 증권선물위원회(10.2.) 조치 의결> 증권선물위원회는 10월 2일 제17차 회의에서, 회계처리기준을 위반하여 재무제표를 작성·공시한 ㈜티와이엠 등 3개사에 대하여 감사인지정 등의 조치를 의결하였습니다.",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187438&menuNo=200218&pageIndex=109,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-02),2024-10-02,
1089,"2024년 상반기 금융지주회사 경영실적[잠정,연결기준]",금융그룹감독실,2024.10.4,"241004_석간_(보도자료) 2024년 상반기 금융지주회사 경영실적[잠정,연결기준].hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c1d9b6592bd1430db2c40845fff58edd&fileSn=1&bbsId=), 241004_석간_(보도자료) 2024년 상반기 금융지주회사 경영실적[잠정,연결기준].pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c1d9b6592bd1430db2c40845fff58edd&fileSn=2&bbsId=)","<><보 도 자 료><> <> <보도><2024.10.4.(금) 석간><배포><2024.10.2.(수)> <> <담당부서><금융그룹감독실 금융그룹감독팀><책임자><팀 장><장항필><(02-3145-8210)><담당자><조사역><김민지><(02-3145-8214)> <> <2024년 상반기 금융지주회사 경영실적 [잠정, 연결기준]> ※ 본 자료는 잠정치로서 ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187432&menuNo=200218&pageIndex=109,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-04),2024-10-04,
1090,2024년 제47회 보험계리사 및 손해사정사 최종 합격자 발표,보험감독국,2024.10.3,"241003 (보도자료) 2024년 제47회 보험계리사 및 손해사정사 최종 합격자 발표.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4e2fc606a6d14a4e89566b5f546896bd&fileSn=1&bbsId=), 241003 (보도자료) 2024년 제47회 보험계리사 및 손해사정사 최종 합격자 발표.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4e2fc606a6d14a4e89566b5f546896bd&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><배포시><배포><2024.10.3.(목)> <> <담당부서><금융감독원 보험감독국 보험제도팀><책임자><국 장><서영일><(02-3145-7460)><담당자><팀 장><황기현><(02-3145-7474)><보험개발원 경영관리부문 약관업무팀><책임자><부문장><오승철><(02-368-4057)><담당자><팀 장><장재일,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187426&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-03),2024-10-03,
1091,’24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과,금융안정지원국,2024.10.4,"241004_조간_(보도자료) ’24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ae77eb845ad44e878f9d46a5555b940b&fileSn=1&bbsId=), 241004_조간_(보도자료) ’24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ae77eb845ad44e878f9d46a5555b940b&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.10.4.(금) 조간><배포><2024.10.2.(수)> <> <담당부서><금융안정지원국 상생금융팀><책임자><팀 장><유상범><(02-3145-8400)><담당자><조사역><송정석><(02-3145-8403)> <> <’24년 상반기 관계형금융 취급실적 및 우수은행 평가 결과> < 주 요 내 용 □ ’24.,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187422&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-04),2024-10-04,
1092,전북특별자치도 도민에 대한 금융교육을 적극 지원하겠습니다.,금융교육국,2024.10.2,241002_1100 (보도자료) 전북도 도민 금융교육을 적극 지원하겠습니다_F.hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=5c34d3d8dfb448289276e4e9873300c5&fileSn=1&bbsId=),"그림입니다. 원본 그림의 이름: CI.jpg 원본 그림의 크기: 가로 677pixel, 세로 970pixel 사진 찍은 날짜: 2008년 05월 26일 오후 11:00 프로그램 이름 : Adobe Photoshop CS Windows 색 대표 : sRGB 보 도 자 료 그림입니다. 원본 그림의 이름: CLP00002cd0b199.bmp 원본 그림의 크기: ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187406&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-02),2024-10-02,
1093,주요 분쟁사례로 알아보는 소비자 유의사항 - 자동차보험 특별약관편 -,분쟁조정1국,2024.10.2,"241002 석간_(보도자료)_주요 민원사례로 알아보는 소비자 유의사항_자동차보험 특별약관편_F.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=54e97a986c1646e398e6161320353f1d&fileSn=1&bbsId=), 241002 석간_(보도자료)_주요 민원사례로 알아보는 소비자 유의사항_자동차보험 특별약관편_F.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=54e97a986c1646e398e6161320353f1d&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.10.2.(수) 석간><배포><2024.9.30.(월)> <> <담당부서><분쟁조정1국 보험분쟁3팀><책임자><부 국 장><신창현><(02-3145-5214)><담당자><조 사 역><김예지><(02-3145-5204)> <> <주요 분쟁사례로 알아보는 소비자 유의사항> <자동차보험 특별약관편> <><주요 내용,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187384&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-02),2024-10-02,
1094,"「START 포털」 운영으로 인허가 사전협의가 투명,신속하게 진행되고 있습니다.",감독총괄국,2024. 10. 2,"241002 조간 (보도자료) 「START 포털」 운영으로 인허가 사전협의가투명·신속하게 진행되고 있습니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4f61449da8274d109a6aaf62bb542fb4&fileSn=1&bbsId=), 241002 조간 (보도자료) 「START 포털」 운영으로 인허가 사전협의가투명·신속하게 진행되고 있습니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4f61449da8274d109a6aaf62bb542fb4&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024. 10. 2.(수) 조간><배포><2024. 9. 30.(월)> <> <담당부서><감독총괄국 감독혁신조정팀><책임자><팀 장><조영범><(02-3145-8310)><담당자><선임조사역><정주영><(02-3145-8312)> <ㅇ> <「START 포털」 운영으로 인허가 사전협의가투명·신속하게 진행되고 있습니다.,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187373&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-02),2024-10-02,
1095,자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대됩니다.,보험리스크관리국,2024.10.2,241002 조간 (보도자료) 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대됩니다.hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=08aa122f41d740d883b8f0f1f2805552&fileSn=1&bbsId=),"보도자료 그림입니다. 원본 그림의 이름: {BD9A84AA-37C6-4390-A8F1-62BD5297B3AF}.png 원본 그림의 크기: 가로 147pixel, 세로 42pixel 보도시점 2024.10.2.(수) 조간 배포 2024.9.30.(월) 09:00 자본건전성이 충분한 보험회사의 배당가능이익이 종전(IFRS4) 수준으로 확대됩니다 - ｢신뢰회복｣",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187374&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-10-02),2024-10-02,
1096,사회 진출을 앞둔 고3 학생들에게 꼭 필요한 금융사기 예방법 및 금융꿀팁 등을 알려드립니다,금융교육국,2024.9.30,"(금감원)_240930_석간_(보도자료) 사회 진출을 앞둔 고3 학생들에게 꼭 필요한 금융사기 예방법 및 금융꿀팁 등을 알려드립니다!_F.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d41cb61a6e714ee28791f608626292c2&fileSn=1&bbsId=), (금감원)_240930_석간_(보도자료) 사회 진출을 앞둔 고3 학생들에게 꼭 필요한 금융사기 예방법 및 금융꿀팁 등을 알려드립니다!_F.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d41cb61a6e714ee28791f608626292c2&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.9.30.(월) 석간><배포><2024.9.27.(금) > <> <담당부서><금융교육국 학교금융교육팀><책임자><팀 장><이인규><(02-3145-5964)><담당자><수석조사역><조은진><(02-3145-5978)> <> <사회 진출을 앞둔 고3 학생들에게 꼭 필요한 금융사기 예방법 및 금융꿀팁 등을 알려드,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187327&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-09-30),2024-09-30,
1097,「마이데이터 2.0」 시행을 위한제도적 기반을 마련하겠습니다,디지털혁신국,2024.9.30,240930 조간 (보도자료) 「마이데이터 2.0」 시행을 위한 제도적 기반을 마련하겠습니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=63f2f911665943a6bed8a47566dba0a9&fileSn=1&bbsId=),<광부><보도자료><> <보도시점><2024. 9. 30.(월) 조간><배포><2024. 9. 27.(금) 16:00> <「마이데이터 2.0」 시행을 위한 제도적 기반을 마련하겠습니다 - ｢신용정보업감독규정｣ 규정변경예고(‘24.9.30.~’24.11.8.) 실시 및 마이데이터 가이드라인 개정 -> <  ｢마이데이터 2.0 추진방안｣(‘24.4월)의 후속,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187320&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-09-30),2024-09-30,
1098,"여신거래 안심차단 시행(8.23.) 이후,89,817명의 금융소비자가 이용하고 있습니다.",디지털혁신국/금융사기대응단,2024.8.23,"240930 조간 (보도자료) 여신거래 안심차단 시행(8.23.) 이후, 89,817명의 금융소비자가 이용하고 있습니다..hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=fd1d62cab9b04788b03908fdb7a78549&fileSn=1&bbsId=)","광부 보도자료 그림입니다. 원본 그림의 이름: CI.jpg 원본 그림의 크기: 가로 677pixel, 세로 970pixel 사진 찍은 날짜: 2008년 05월 26일 오후 11:00 프로그램 이름 : Adobe Photoshop CS Windows 색 대표 : sRGB 보도시점 2024. 9. 30(월) 조간 배포 2024. 9. 27.(금) 여신거래 안심",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=187319&menuNo=200218&pageIndex=110,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-23),2024-08-23,
